"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "pros" "Ademir Camilo" "MG" 133374 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "pmdb" "Daniel Vilela" "GO" 144523 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "psc" "Edmar Arruda" "PR" 160578 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "pt" "Fabiano Horta" "RJ" 146829 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "psd" "José Nunes" "BA" 160619 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "pv" "Leandre" "PR" 178832 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "pr" "Lincoln Portela" "MG" 74585 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "pdt" "Marcelo Matos" "RJ" 76287 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "psc" "Marcos Reategui" "AP" 178852 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "dem" "Misael Varella" "MG" 178895 "S" 15 66.6666666666667
"Coincidência reeleição" "2Wn3UCGPX7" "-23.5747707" "-46.62371" "S" "2015-08-11T23:43:20.678Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "S" 15 66.6666666666667
