"Coincidência reeleição" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Cota para mulheres legislativo" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "pros" "Leônidas Cristino" "CE" 74299 "N" 15 80
"Distritao" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 86.6666666666667
"Financiamento privado para partidos" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Financiamento privado para partidos e candidatos" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 86.6666666666667
"Maioridade 1" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 86.6666666666667
"Maioridade 2" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 86.6666666666667
"Pensão" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Reeleição" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Seguro Desemprego" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Tempo Mandato" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Terceirização" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Transgênico" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 86.6666666666667
"Voto Facultativo" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "S" "2015-08-12T19:23:15.996Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 86.6666666666667
"Voto impresso" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 66.6666666666667
"Voto impresso" "48FGCJFz1u" "-23.5969170399" "-46.685876534" "N" "2015-08-12T19:23:15.996Z" "pt" "Reginaldo Lopes" "MG" 74161 "N" 15 66.6666666666667
