"Coincidência reeleição" "BKVj88TZIb" "-23.1981456" "-45.8631774" "S" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 86.6666666666667
"Cota para mulheres legislativo" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "psb" "César Messias" "AC" 178838 "N" 15 66.6666666666667
"Distritao" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Financiamento privado para partidos" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Financiamento privado para partidos e candidatos" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Maioridade 1" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Maioridade 2" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Pensão" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Reeleição" "BKVj88TZIb" "-23.1981456" "-45.8631774" "S" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 86.6666666666667
"Seguro Desemprego" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Tempo Mandato" "BKVj88TZIb" "-23.1981456" "-45.8631774" "S" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 86.6666666666667
"Terceirização" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Transgênico" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 86.6666666666667
"Voto Facultativo" "BKVj88TZIb" "-23.1981456" "-45.8631774" "S" "2015-08-17T23:41:42.004Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 86.6666666666667
"Voto impresso" "BKVj88TZIb" "-23.1981456" "-45.8631774" "N" "2015-08-17T23:41:42.004Z" "pt" "Reginaldo Lopes" "MG" 74161 "N" 15 53.3333333333333
