"Coincidência reeleição" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Cota para mulheres legislativo" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "S" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Distritao" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Financiamento privado para partidos" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Maioridade 1" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Maioridade 2" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Pensão" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "S" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Reeleição" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "S" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Seguro Desemprego" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "S" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Tempo Mandato" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "S" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Terceirização" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Transgênico" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Voto Facultativo" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "S" "2015-08-07T15:04:42.865Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Voto impresso" "Cq8pVkPM5K" "-20.4589083" "-54.6236831" "N" "2015-08-07T15:04:42.865Z" "pt" "Reginaldo Lopes" "MG" 74161 "N" 15 80
