"Coincidência reeleição" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Cota para mulheres legislativo" "DhhyuU50fX" "-15.5998471" "-56.0926259" "S" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "S" 15 86.6666666666667
"Distritao" "DhhyuU50fX" "-15.5998471" "-56.0926259" "S" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "S" 15 86.6666666666667
"Financiamento privado para partidos" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Financiamento privado para partidos e candidatos" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Maioridade 1" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Maioridade 2" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Pensão" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Reeleição" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pps" "Raul Jungmann" "PE" 74048 "N" 15 73.3333333333333
"Seguro Desemprego" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Tempo Mandato" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Terceirização" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Transgênico" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 86.6666666666667
"Voto Facultativo" "DhhyuU50fX" "-15.5998471" "-56.0926259" "S" "2015-08-08T05:18:49.020Z" "pros" "Miro Teixeira" "RJ" 74862 "S" 15 86.6666666666667
"Voto impresso" "DhhyuU50fX" "-15.5998471" "-56.0926259" "N" "2015-08-08T05:18:49.020Z" "pt" "Reginaldo Lopes" "MG" 74161 "N" 15 46.6666666666667
