"Coincidência reeleição" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 66.6666666666667
"Coincidência reeleição" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "ptb" "Deley" "RJ" 74172 "S" 15 66.6666666666667
"Coincidência reeleição" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "solidaried" "JHC" "AL" 178842 "S" 15 66.6666666666667
"Coincidência reeleição" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "pcdob" "João Derly" "RS" 178965 "S" 15 66.6666666666667
"Coincidência reeleição" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "pdt" "Wolney Queiroz" "PE" 74439 "S" 15 66.6666666666667
"Cota para mulheres legislativo" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Distritao" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Financiamento privado para partidos" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Financiamento privado para partidos e candidatos" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Maioridade 1" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 73.3333333333333
"Maioridade 2" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Pensão" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Reeleição" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Seguro Desemprego" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Tempo Mandato" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Terceirização" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Transgênico" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Voto Facultativo" "EZljjNMDFP" "-12.1333591" "-38.4249985" "S" "2015-08-23T15:47:32.615Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Voto impresso" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 46.6666666666667
"Voto impresso" "EZljjNMDFP" "-12.1333591" "-38.4249985" "N" "2015-08-23T15:47:32.615Z" "pmdb" "Hildo Rocha" "MA" 178884 "N" 15 46.6666666666667
