"Coincidência reeleição" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Distritao" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Financiamento privado para partidos" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "N" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "N" 15 93.3333333333333
"Maioridade 1" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "N" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "N" 15 93.3333333333333
"Maioridade 2" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Pensão" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Reeleição" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Seguro Desemprego" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Tempo Mandato" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Terceirização" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Transgênico" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "N" "2015-08-10T18:13:47.010Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 86.6666666666667
"Transgênico" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "N" "2015-08-10T18:13:47.010Z" "ptb" "Wilson Filho" "PB" 160636 "N" 15 86.6666666666667
"Voto Facultativo" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
"Voto impresso" "GUd5oBI0cT" "-30.0096608793" "-51.0850133299" "S" "2015-08-10T18:13:47.010Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 93.3333333333333
