"Coincidência reeleição" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Coincidência reeleição" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Distritao" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Distritao" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Financiamento privado para partidos" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Financiamento privado para partidos" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Maioridade 1" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Maioridade 1" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Maioridade 2" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Maioridade 2" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Pensão" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Pensão" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Reeleição" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Reeleição" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Seguro Desemprego" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Seguro Desemprego" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Tempo Mandato" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Tempo Mandato" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Terceirização" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Terceirização" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Transgênico" "I1HQEQUZpR" "-15.7859391" "-47.880455" "N" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Voto Facultativo" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Voto Facultativo" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Voto impresso" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Voto impresso" "I1HQEQUZpR" "-15.7859391" "-47.880455" "S" "2015-08-06T18:06:50.699Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
