"Coincidência reeleição" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "S" 15 73.3333333333333
"Cota para mulheres legislativo" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 73.3333333333333
"Distritao" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 73.3333333333333
"Financiamento privado para partidos" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "pros" "Antonio Balhmann" "CE" 74213 "N" 15 66.6666666666667
"Financiamento privado para partidos" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "pcdob" "Carlos Eduardo Cadoca" "PE" 74474 "N" 15 66.6666666666667
"Financiamento privado para partidos e candidatos" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 73.3333333333333
"Maioridade 1" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "S" 15 73.3333333333333
"Maioridade 2" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "pcdob" "Carlos Eduardo Cadoca" "PE" 74474 "N" 15 66.6666666666667
"Maioridade 2" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 66.6666666666667
"Pensão" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "S" 15 73.3333333333333
"Reeleição" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "S" 15 73.3333333333333
"Seguro Desemprego" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "S" 15 73.3333333333333
"Tempo Mandato" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 73.3333333333333
"Terceirização" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "S" 15 73.3333333333333
"Transgênico" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "pcdob" "Carlos Eduardo Cadoca" "PE" 74474 "N" 15 66.6666666666667
"Transgênico" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "pv" "Sarney Filho" "MA" 74210 "N" 15 66.6666666666667
"Voto Facultativo" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "pros" "Antonio Balhmann" "CE" 74213 "S" 15 66.6666666666667
"Voto Facultativo" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "pr" "Cabo Sabino" "CE" 178865 "S" 15 66.6666666666667
"Voto Facultativo" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "pcdob" "Carlos Eduardo Cadoca" "PE" 74474 "S" 15 66.6666666666667
"Voto Facultativo" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "S" "2015-08-10T19:57:43.172Z" "pv" "Sarney Filho" "MA" 74210 "S" 15 66.6666666666667
"Voto impresso" "MJd53MNwEy" "-23.5204577298" "-46.7186866877" "N" "2015-08-10T19:57:43.172Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 73.3333333333333
