"Coincidência reeleição" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "S" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "S" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Distritao" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Financiamento privado para partidos" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Maioridade 1" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Maioridade 2" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Pensão" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Reeleição" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "S" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Seguro Desemprego" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Tempo Mandato" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "S" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Terceirização" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Transgênico" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Voto Facultativo" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "S" "2015-08-08T20:06:50.955Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Voto impresso" "NgocJZpn0a" "-22.3186810346" "-42.3177591498" "N" "2015-08-08T20:06:50.955Z" "pt" "Reginaldo Lopes" "MG" 74161 "N" 15 60
