"Coincidência reeleição" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "N" 15 86.6666666666667
"Coincidência reeleição" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "N" 15 86.6666666666667
"Coincidência reeleição" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "N" 15 86.6666666666667
"Cota para mulheres legislativo" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "S" 15 86.6666666666667
"Cota para mulheres legislativo" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "S" 15 86.6666666666667
"Cota para mulheres legislativo" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "S" 15 86.6666666666667
"Distritao" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "N" 15 86.6666666666667
"Distritao" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "N" 15 86.6666666666667
"Financiamento privado para partidos" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "S" 15 86.6666666666667
"Financiamento privado para partidos" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "S" 15 86.6666666666667
"Financiamento privado para partidos" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "S" 15 86.6666666666667
"Financiamento privado para partidos e candidatos" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "S" 15 86.6666666666667
"Financiamento privado para partidos e candidatos" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "S" 15 86.6666666666667
"Financiamento privado para partidos e candidatos" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "S" 15 86.6666666666667
"Maioridade 1" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "N" 15 86.6666666666667
"Maioridade 1" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "N" 15 86.6666666666667
"Maioridade 1" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "N" 15 86.6666666666667
"Maioridade 2" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "N" 15 86.6666666666667
"Maioridade 2" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "N" 15 86.6666666666667
"Maioridade 2" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "N" 15 86.6666666666667
"Pensão" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "S" 15 86.6666666666667
"Pensão" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "S" 15 86.6666666666667
"Pensão" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "S" 15 86.6666666666667
"Reeleição" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "S" 15 86.6666666666667
"Reeleição" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "S" 15 86.6666666666667
"Seguro Desemprego" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "S" 15 86.6666666666667
"Seguro Desemprego" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pmdb" "Darcísio Perondi" "RS" 73891 "S" 15 86.6666666666667
"Seguro Desemprego" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "S" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "S" 15 86.6666666666667
"Tempo Mandato" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "ptb" "Alex Canziani" "PR" 73458 "N" 15 86.6666666666667
"Tempo Mandato" "QB34Fx3Hqu" "-23.0223709618" "-43.4864388221" "N" "2015-08-08T01:01:19.156Z" "pp" "Ricardo Barros" "PR" 73788 "N" 15 86.6666666666667
