"Coincidência reeleição" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Coincidência reeleição" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Distritao" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Distritao" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Financiamento privado para partidos" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Financiamento privado para partidos" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Maioridade 1" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Maioridade 1" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Maioridade 2" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Maioridade 2" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Pensão" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Pensão" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Reeleição" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Reeleição" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Seguro Desemprego" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Seguro Desemprego" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Tempo Mandato" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Tempo Mandato" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Terceirização" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "N" 15 93.3333333333333
"Terceirização" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Transgênico" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "N" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "N" 15 93.3333333333333
"Voto Facultativo" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Voto Facultativo" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
"Voto impresso" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pmdb" "Vitor Valim" "CE" 178869 "S" 15 93.3333333333333
"Voto impresso" "UHcXO6Z5j4" "-20.3525591" "-40.3382948" "S" "2015-08-08T03:54:35.213Z" "pt" "Weliton Prado" "MG" 160518 "S" 15 93.3333333333333
