"Coincidência reeleição" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "psc" "Marcos Reategui" "AP" 178852 "S" 15 73.3333333333333
"Cota para mulheres legislativo" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Distritao" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Financiamento privado para partidos" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Financiamento privado para partidos e candidatos" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Maioridade 1" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pcdob" "Alice Portugal" "BA" 74057 "N" 15 73.3333333333333
"Maioridade 1" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "psc" "Marcos Reategui" "AP" 178852 "N" 15 73.3333333333333
"Maioridade 1" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 73.3333333333333
"Maioridade 2" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Pensão" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Reeleição" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Seguro Desemprego" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "pcdob" "Alice Portugal" "BA" 74057 "S" 15 73.3333333333333
"Seguro Desemprego" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "psc" "Marcos Reategui" "AP" 178852 "S" 15 73.3333333333333
"Tempo Mandato" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Terceirização" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Transgênico" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "N" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Voto Facultativo" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Voto impresso" "VhPoUsNg1K" "-7.2944259" "-35.8901035" "S" "2015-08-19T23:51:15.389Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
