"Coincidência reeleição" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Distritao" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "solidaried" "Augusto Carvalho" "DF" 73655 "S" 15 86.6666666666667
"Distritao" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "pros" "Miro Teixeira" "RJ" 74862 "S" 15 86.6666666666667
"Financiamento privado para partidos" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Maioridade 1" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Maioridade 2" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Pensão" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Reeleição" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Seguro Desemprego" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Tempo Mandato" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Terceirização" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Transgênico" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "N" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 93.3333333333333
"Voto Facultativo" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
"Voto impresso" "ZXaGN37Xjy" "-20.3300177382" "-40.2810289312" "S" "2015-08-10T12:52:17.926Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 93.3333333333333
