"Coincidência reeleição" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Distritao" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Financiamento privado para partidos" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "N" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "N" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 93.3333333333333
"Maioridade 1" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "N" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 93.3333333333333
"Maioridade 2" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "N" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 93.3333333333333
"Pensão" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Reeleição" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Seguro Desemprego" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Tempo Mandato" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Terceirização" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Transgênico" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Voto Facultativo" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "S" "2015-08-12T23:54:26.156Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 93.3333333333333
"Voto impresso" "ayPGvCRAyB" "-22.0055807" "-47.8937918" "N" "2015-08-12T23:54:26.156Z" "pt" "Reginaldo Lopes" "MG" 74161 "N" 15 80
