"Coincidência reeleição" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "N" 15 80
"Coincidência reeleição" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "N" 15 80
"Cota para mulheres legislativo" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "N" 15 80
"Distritao" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "S" 15 80
"Financiamento privado para partidos" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "S" 15 80
"Financiamento privado para partidos" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "S" 15 80
"Financiamento privado para partidos e candidatos" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "S" 15 80
"Financiamento privado para partidos e candidatos" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "S" 15 80
"Maioridade 1" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "N" 15 80
"Maioridade 1" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "N" 15 80
"Maioridade 2" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "N" 15 80
"Maioridade 2" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "N" 15 80
"Pensão" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "N" 15 80
"Pensão" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "N" 15 80
"Reeleição" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "S" 15 80
"Reeleição" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "S" 15 80
"Seguro Desemprego" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "N" 15 80
"Seguro Desemprego" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "N" 15 80
"Tempo Mandato" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "S" 15 80
"Tempo Mandato" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "S" 15 80
"Terceirização" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "S" 15 80
"Terceirização" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "S" 15 80
"Transgênico" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "pv" "Evandro Gussi" "SP" 178828 "N" 15 80
"Voto Facultativo" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "S" "2015-08-11T22:49:04.320Z" "pmdb" "Jarbas Vasconcelos" "PE" 131943 "S" 15 80
"Voto impresso" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "prp" "Juscelino Filho" "MA" 178886 "N" 15 53.3333333333333
"Voto impresso" "o9CGYmDN1Y" "-22.9740599" "-43.2293894" "N" "2015-08-11T22:49:04.320Z" "psdb" "Jutahy Junior" "BA" 74570 "N" 15 53.3333333333333
