"Coincidência reeleição" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 66.6666666666667
"Coincidência reeleição" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "ptb" "Deley" "RJ" 74172 "S" 15 66.6666666666667
"Coincidência reeleição" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "solidaried" "JHC" "AL" 178842 "S" 15 66.6666666666667
"Coincidência reeleição" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "pcdob" "João Derly" "RS" 178965 "S" 15 66.6666666666667
"Coincidência reeleição" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "pdt" "Wolney Queiroz" "PE" 74439 "S" 15 66.6666666666667
"Cota para mulheres legislativo" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Distritao" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Financiamento privado para partidos" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Financiamento privado para partidos e candidatos" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Maioridade 1" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pros" "Miro Teixeira" "RJ" 74862 "N" 15 73.3333333333333
"Maioridade 2" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Pensão" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Reeleição" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Seguro Desemprego" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Tempo Mandato" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Terceirização" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Transgênico" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 80
"Voto Facultativo" "rBhkfglrlO" "-22.7080593" "-46.7726654" "S" "2015-08-24T23:22:58.588Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 80
"Voto impresso" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "psdc" "Aluisio Mendes" "MA" 178881 "N" 15 46.6666666666667
"Voto impresso" "rBhkfglrlO" "-22.7080593" "-46.7726654" "N" "2015-08-24T23:22:58.588Z" "pmdb" "Hildo Rocha" "MA" 178884 "N" 15 46.6666666666667
