"Coincidência reeleição" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Coincidência reeleição" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Cota para mulheres legislativo" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Cota para mulheres legislativo" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Distritao" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Distritao" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Financiamento privado para partidos" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Financiamento privado para partidos" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Financiamento privado para partidos e candidatos" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Financiamento privado para partidos e candidatos" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Maioridade 1" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Maioridade 1" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Maioridade 2" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Maioridade 2" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Pensão" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Pensão" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Reeleição" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Reeleição" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Seguro Desemprego" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Seguro Desemprego" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Tempo Mandato" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Tempo Mandato" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Terceirização" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "N" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "N" 15 100
"Terceirização" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "N" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "N" 15 100
"Transgênico" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Transgênico" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Voto Facultativo" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Voto Facultativo" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
"Voto impresso" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pmdb" "Lucio Mosquini" "RO" 178954 "S" 15 100
"Voto impresso" "to6kuDmPZQ" "-5.89156128194" "-35.1896784444" "S" "2015-08-13T01:54:46.844Z" "pt" "Merlong Solano" "PI" 188097 "S" 15 100
