"Coincidência reeleição" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Coincidência reeleição" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Cota para mulheres legislativo" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "S" 15 93.3333333333333
"Cota para mulheres legislativo" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Distritao" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Distritao" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Financiamento privado para partidos" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Financiamento privado para partidos" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Financiamento privado para partidos e candidatos" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Maioridade 1" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Maioridade 1" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Maioridade 2" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Maioridade 2" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Pensão" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "S" 15 93.3333333333333
"Pensão" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Reeleição" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "S" 15 93.3333333333333
"Reeleição" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Seguro Desemprego" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Tempo Mandato" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "S" 15 93.3333333333333
"Tempo Mandato" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Terceirização" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Terceirização" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Transgênico" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "N" 15 93.3333333333333
"Transgênico" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "N" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "N" 15 93.3333333333333
"Voto Facultativo" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
"Voto impresso" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pr" "Clarissa Garotinho" "RJ" 178939 "S" 15 93.3333333333333
"Voto impresso" "wwYKeJjjM0" "-30.0455342711" "-51.2105082579" "S" "2015-08-22T20:31:32.990Z" "pt" "Décio Lima" "SC" 141413 "S" 15 93.3333333333333
