"Coincidência reeleição" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "S" "2015-08-14T17:11:23.061Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 66.6666666666667
"Cota para mulheres legislativo" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 66.6666666666667
"Distritao" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "S" "2015-08-14T17:11:23.061Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 66.6666666666667
"Financiamento privado para partidos" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 66.6666666666667
"Financiamento privado para partidos" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 66.6666666666667
"Financiamento privado para partidos e candidatos" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 66.6666666666667
"Financiamento privado para partidos e candidatos" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 66.6666666666667
"Maioridade 1" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "S" "2015-08-14T17:11:23.061Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 66.6666666666667
"Maioridade 2" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 66.6666666666667
"Pensão" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pdt" "Damião Feliciano" "PB" 74467 "N" 15 66.6666666666667
"Pensão" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "N" "2015-08-14T17:11:23.061Z" "pp" "Marcelo Belinati" "PR" 178932 "N" 15 66.6666666666667
"Reeleição" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "S" "2015-08-14T17:11:23.061Z" "pdt" "Damião Feliciano" "PB" 74467 "S" 15 66.6666666666667
"Reeleição" "xq1v5QZqZm" "-3.7434736" "-38.5138188" "S" "2015-08-14T17:11:23.061Z" "pp" "Marcelo Belinati" "PR" 178932 "S" 15 66.6666666666667
